#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,mean,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,building,companyDomain,device_id,location,origin,place
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:32:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:33:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:34:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:35:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:36:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:37:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:38:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:39:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,2,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:40:30Z,2,dr,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:27:30Z,922100000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:28:30Z,923100000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:29:30Z,922900000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:30:30Z,922700000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:31:30Z,923300000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:32:30Z,922900000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:33:30Z,922300000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:34:30Z,923100000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:35:30Z,922100000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:36:30Z,922100000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:37:30Z,922900000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:38:30Z,922700000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:39:30Z,923300000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,3,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:40:30Z,922700000,frequency,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:27:30Z,-52,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:28:30Z,-49,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:29:30Z,-49,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:30:30Z,-51,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:31:30Z,-49,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:32:30Z,-51,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:33:30Z,-53,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:34:30Z,-52,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:35:30Z,-52,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:36:30Z,-52,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:37:30Z,-53,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:38:30Z,-52,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
,,4,2025-04-24T04:26:09.053251979Z,2025-04-24T04:41:09.053251979Z,2025-04-24T04:39:30Z,-51,rssi,lora,gyeongnam_campus,nhnacademy,24e124136d151368,24e124fffef5dccc,입구,sensor_data,server_room
